labelled_patterns=184
dihedral_classes=16
orbit_size_distribution={2: 5, 6: 2, 18: 9}
certificates:
01. orbit=18; K_A(0,1,2,7): d02+d17 > d01+d27; rows=0:1238; 1:0247; 2:1357; 3:1468; 4:0256; 5:3467; 6:2578; 7:0368; 8:0145
02. orbit=18; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1238; 1:0347; 2:1356; 3:2458; 4:0368; 5:2467; 6:1578; 7:0146; 8:0257
03. orbit=18; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1238; 1:0357; 2:1346; 3:2458; 4:0368; 5:2467; 6:1578; 7:0256; 8:0147
04. orbit=18; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1246; 1:0235; 2:1348; 3:0247; 4:2568; 5:1367; 6:4578; 7:0368; 8:0157
05. orbit=18; K_A(0,1,2,8): d02+d18 > d01+d28; rows=0:1246; 1:2578; 2:1348; 3:0247; 4:0156; 5:2368; 6:1357; 7:0458; 8:0367
06. orbit=18; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1247; 1:0238; 2:0146; 3:2458; 4:1357; 5:3468; 6:0257; 7:1568; 8:0367
07. orbit= 6; K_B(0,2,4,7): d04+d27 > d07+d24; rows=0:1248; 1:0235; 2:0146; 3:2457; 4:3568; 5:0347; 6:1578; 7:0268; 8:1367
08. orbit= 2; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1248; 1:0235; 2:1346; 3:2457; 4:3568; 5:0467; 6:1578; 7:0268; 8:0137
09. orbit= 6; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1248; 1:0358; 2:0146; 3:2457; 4:2368; 5:0347; 6:1578; 7:0256; 8:1367
10. orbit=18; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1248; 1:0358; 2:1347; 3:0246; 4:2357; 5:1368; 6:0457; 7:2568; 8:0167
11. orbit=18; K_A(0,1,7,8): d07+d18 > d01+d78; rows=0:1248; 1:0358; 2:1457; 3:0246; 4:1368; 5:0347; 6:2578; 7:0156; 8:2367
12. orbit=18; K_A(0,1,2,8): d02+d18 > d01+d28; rows=0:1256; 1:2478; 2:1358; 3:0146; 4:0257; 5:2368; 6:1347; 7:0458; 8:0367
13. orbit= 2; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1257; 1:2368; 2:0347; 3:1458; 4:0256; 5:1367; 6:2478; 7:0358; 8:0146
14. orbit= 2; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1268; 1:0237; 2:1348; 3:0245; 4:1356; 5:2467; 6:3578; 7:0468; 8:0157
15. orbit= 2; K_A(0,1,3,4): d03+d14 > d01+d34; rows=0:1348; 1:0245; 2:1356; 3:2467; 4:3578; 5:0468; 6:0157; 7:1268; 8:0237
16. orbit= 2; K_A(0,1,2,3): d02+d13 > d01+d23; rows=0:1367; 1:2478; 2:0358; 3:0146; 4:1257; 5:2368; 6:0347; 7:1458; 8:0256
status=PASS
