164 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
165 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
166 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
167 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
168 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
169 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
170 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
171 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
172 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
173 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
174 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
175 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
176 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
177 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
178 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
179 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
180 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
181 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
182 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
183 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
184 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
185 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
186 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
187 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
188 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
189 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
190 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
191 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
192 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
193 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
194 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
195 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
196 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
197 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
198 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
199 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
200 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
201 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
202 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
203 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
204 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
205 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
206 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
207 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
208 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
209 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
210 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
211 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
212 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
213 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
214 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
215 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
216 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
217 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
218 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
219 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
220 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
221 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
222 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
223 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
224 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
225 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
226 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
227 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
228 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
229 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
230 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
231 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
232 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
233 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
234 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
235 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
236 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
237 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
238 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
239 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
240 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
241 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
242 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
243 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
244 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
245 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
246 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
247 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
248 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
249 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
250 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
251 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
252 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
253 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
254 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
255 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
256 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
257 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
258 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
259 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
260 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
261 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
262 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
263 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
264 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
265 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
266 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
267 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
268 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
269 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
270 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
271 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
272 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
273 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
274 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
275 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
276 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
277 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
278 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
279 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
280 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
281 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
282 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
283 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
284 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
285 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
286 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
287 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
288 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
289 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
290 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
291 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
292 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
293 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
294 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
295 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
296 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
297 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
298 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
299 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
300 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
301 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
302 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
303 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
304 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
305 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
306 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
307 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
308 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
309 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
310 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
311 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
312 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
313 True {'status': 0, 'method': 'direct homogeneous dual, exact reconstruction'}
